"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)";"Horeca/Cafés en dergelijke/Afstand tot café e.d. (km)";"Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 1 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 3 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 5 km (aantal)";"Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 1 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 3 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 5 km (aantal)";"Horeca/Restaurants/Afstand tot restaurant (km)";"Horeca/Restaurants/Aantal restaurants/Binnen 1 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 3 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 5 km (aantal)";"Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 5 km (aantal)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 10 km (aantal)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 20 km (aantal)";"Kinderopvang/Kinderdagverblijf/Afstand tot kinderdagverblijf (km)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 1 km (aantal)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 3 km (aantal)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 5 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Afstand tot buitenschoolse opvang (km)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 1 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 3 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 5 km (aantal)";"Onderwijs/Basisonderwijs/Afstand tot school (km)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 1 km (aantal)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 10 km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 10 km (aantal)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)";"Vrije tijd en cultuur/Afstand tot bibliotheek (km)";"Vrije tijd en cultuur/Sport/Afstand tot binnenzwembad (km)";"Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km)";"Vrije tijd en cultuur/Museum/Afstand tot museum (km)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km)";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 50 km (aantal)";"Afstand tot brandweerkazerne (km)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";1,1;1,2;7,8;16,9;7,1;1,3;4,9;1,1;2,9;8,7;7,3;0,7;1,6;4,2;;;;;;1;1,7;10,8;23,5;0,8;6,8;47;102,8;2,7;2,4;6,6;19,6;1,5;2,7;22,4;48,9;0,8;5,1;39,7;87;0,9;7,8;65,1;144,1;2,6;17,6;42,8;99,8;0,7;2,8;19,1;43,5;0,8;2,1;14,4;33;0,8;1,6;9,8;21,9;2,5;3,6;7,8;20;2,6;2,8;6;15,6;3,4;2;4,3;10,9;;;;;;;;;;;;;;1,9;5,3;10,8;2;3,4;19,5;4,2;3,3;8;21,2;4,8;3;7;16,6;10,2;6,6;1,2;2,8;7,2;8;4,3;5,6;2,9;8,6;40,1;2,2
"'s-Gravenhage";"'s-Gravenhage                           ";"Gemeente  ";"GM0518    ";"1";0,7;2,6;25,5;62,4;3;0,7;2,6;2,8;6,3;15,3;2,7;2;4,9;8,9;;;;;;0,6;3,5;34,3;84,5;0,5;23,6;229,5;534,7;1,4;8,1;20;39,9;0,8;10;99,8;216,7;0,5;13,6;149,2;360,7;0,5;18,6;218;543,2;1,6;41,5;100,3;152,1;0,5;7,1;73,4;184,6;0,5;3,9;42,3;112,6;0,6;2,9;30,5;76,6;1;9,9;26,8;64,8;1,1;7,6;20,6;50,5;1,5;5,2;14,5;34;;;;;;;;;;;;;;3,1;3,4;4,2;1,2;2;6,8;2,9;12,2;26,3;44,1;1,9;11,4;21,9;32,4;4;2,7;3,5;8,1;15,8;3,4;1,2;2,8;11;18,3;55,3;1,9
"Wijk 01 Oostduinen";"'s-Gravenhage                           ";"Wijk      ";"WK051801  ";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Oostduinen";"'s-Gravenhage                           ";"Buurt     ";"BU05180170";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Wijk 02 Belgisch Park";"'s-Gravenhage                           ";"Wijk      ";"WK051802  ";"1";0,8;2,3;12,4;28,9;5,8;0,6;2,8;1;6;14,9;2,8;1;5;8,9;;;;;;0,4;2,6;9,6;38,9;0,3;20,5;80,8;266,4;1,3;5,4;15,4;38,3;0,4;6,7;19,4;91,6;0,3;18,7;69,3;237,3;0,3;30,6;122,3;482,8;0,4;64,2;91,1;151,4;0,5;7;25,7;82,1;0,5;4,5;23,1;61,7;0,6;1,9;8,4;28,1;1,1;3,7;17;52,8;1,1;2,6;11;40;1,1;2,7;11,9;29,3;;;;;;;;;;;;;;3,2;4,7;4,7;2,1;1,2;10,9;0,7;18;25;46,6;1,1;9,9;21,6;32;5,6;0,8;2,9;7;16;2,9;0,6;1;9,7;16,1;56;2,2
"Belgisch Park";"'s-Gravenhage                           ";"Buurt     ";"BU05180271";"1";0,8;2,3;12,4;28,9;5,8;0,6;2,8;1;6;14,9;2,8;1;5;8,9;;;;;;0,4;2,6;9,6;38,9;0,3;20,5;80,8;266,4;1,3;5,4;15,4;38,3;0,4;6,7;19,4;91,6;0,3;18,7;69,3;237,3;0,3;30,6;122,3;482,8;0,4;64,2;91,1;151,4;0,5;7;25,7;82,1;0,5;4,5;23,1;61,7;0,6;1,9;8,4;28,1;1,1;3,7;17;52,8;1,1;2,6;11;40;1,1;2,7;11,9;29,3;;;;;;;;;;;;;;3,2;4,7;4,7;2,1;1,2;10,9;0,7;18;25;46,6;1,1;9,9;21,6;32;5,6;0,8;2,9;7;16;2,9;0,6;1;9,7;16,1;56;2,2
"Wijk 03 Westbroekpark en Duttendel";"'s-Gravenhage                           ";"Wijk      ";"WK051803  ";"1";1,1;0,9;16,8;41,3;4,8;1;1,9;1,5;6,1;15,6;1,9;1,5;5;9;;;;;;1,3;0,3;14,6;59,2;1,1;2,9;122,5;398;2,2;7;17,4;39,1;1,3;0,6;29,9;173,6;0,4;3,6;102,4;360,1;0,8;2,6;197,1;679;0,9;79,2;94,8;151,9;0,6;2,7;39,9;125,3;0,5;3,3;36,9;82,3;0,6;1,5;14,4;43,6;1,3;8,1;21,5;57,9;1,3;5,3;13,8;44,7;1,3;6,8;15,1;31,6;;;;;;;;;;;;;;2,6;3,6;3,6;2,3;1,9;10,3;1,1;21,1;25;47,3;1,8;14,5;22;32;4,5;1,7;5;7,4;16;2,3;1,3;0,9;11,1;16,9;56,1;2,4
"Westbroekpark";"'s-Gravenhage                           ";"Buurt     ";"BU05180373";"1";0,8;1,9;19,1;44,5;4,7;0,8;2,2;1,7;6;15,6;2,2;1,7;5;9;;;;;;1,1;0,7;17,2;63,6;1;5,9;143,9;424,4;1,9;7,1;17,2;38,9;1,2;1,3;36,9;192,4;0,3;5,8;119,1;377,9;0,5;5,1;241,5;699,9;0,5;79,6;94,9;151,8;0,8;3,9;45;134,3;0,5;4,5;40;86,6;0,8;1,7;16,4;47,7;0,9;9,8;22,6;58,3;0,9;6,5;14,6;45,4;0,9;7,5;15,9;31;;;;;;;;;;;;;;3,1;3,5;3,5;2;1,5;10;1,2;20,6;25;46,8;1,4;14,9;21,9;32;4,3;1,4;5;7;16;2,8;1,1;0,7;10,8;16,1;56;2,1
"Duttendel";"'s-Gravenhage                           ";"Buurt     ";"BU05180374";"1";1,3;0;14,9;38,6;5;1,2;1,7;1,4;6,2;15,7;1,7;1,4;5;9;;;;;;1,4;0;12,5;55,6;1,1;0,4;104,7;376,1;2,5;6,9;17,7;39,3;1,4;0;24;157,9;0,4;1,8;88,4;345,3;1,1;0,4;160,3;661,6;1,3;79;94,8;152;0,5;1,7;35,8;117,7;0,4;2,3;34,3;78,7;0,5;1,4;12,6;40,2;1,5;6,8;20,6;57,6;1,5;4,3;13,2;44,1;1,5;6,3;14,5;32,1;;;;;;;;;;;;;;2,2;3,7;3,7;2,6;2,2;10,6;0,9;21,6;25;47,7;2;14,2;22;32;4,7;1,9;5;7,8;16;1,9;1,5;1;11,4;17,6;56,1;2,6
"Wijk 04 Benoordenhout";"'s-Gravenhage                           ";"Wijk      ";"WK051804  ";"1";0,7;1,5;11,6;52,7;4,6;0,8;1,4;2;6,8;16,4;1,4;2;5;9,4;;;;;;0,6;1,4;20,2;70,8;0,5;10,3;117,9;458,5;2,5;7,6;19,6;42,1;1,6;0,3;42,8;192,7;0,5;4,8;118,7;393,9;0,5;6,4;232,2;699,9;1,6;79;97,2;153,4;0,8;3;37,8;146,7;0,7;3,8;29,8;95,6;0,9;1,6;12,5;53,8;0,8;7,5;25,9;61,9;0,9;4,3;17,9;47,9;0,8;7,1;16,2;35,3;;;;;;;;;;;;;;2,1;2,5;2,5;1,4;2,8;10,4;1,8;22,6;25,1;48,8;2,2;14,9;22;32;4,2;3;5,2;8,9;16;1,6;2;2,4;12,7;18;56,6;2,5
"Nassaubuurt";"'s-Gravenhage                           ";"Buurt     ";"BU05180448";"1";0,5;2;15,3;74,6;3,5;0,9;2,1;3;6,7;16,1;2,1;2,9;5;9,1;;;;;;0,5;1,6;34,9;97,9;0,4;17,7;198,4;671,4;1,6;10,9;21,1;42,4;0,9;2,2;97,3;293,3;0,3;9,9;234,8;483,8;0,4;19,7;434;837,1;0,9;82,9;99,2;154,8;0,5;5,7;56,1;206,8;0,5;6;36,5;128,4;0,6;2,8;16,5;78,6;0,4;8,5;33,1;64,4;0,4;4,2;24,1;50,3;0,4;8,4;18,3;36,3;;;;;;;;;;;;;;2,5;1,6;1,6;1,6;2,8;9,4;1;23,8;25;48,7;1,1;16,2;22;32;3,1;2,1;6;9;16;2,6;1,4;2;13;18;57;2
"Uilennest";"'s-Gravenhage                           ";"Buurt     ";"BU05180475";"1";1,3;0,1;10,1;47,8;4,8;1;2;2;7;17;2;2;5;10;;;;;;0,4;1,8;18,5;62,9;0,9;9,2;101,2;376,8;2,4;5,3;19,3;43,1;1,5;0;30,2;157,6;0,7;3,8;99,5;357,7;0,9;1,3;202,4;645,1;2;72,3;97,2;154,9;1,2;0,5;34,9;132,3;1;1,2;27,8;89,3;1,1;0,5;12,6;49,6;1,1;7,8;23,1;62,6;1,4;4,8;16;48,6;1,1;7;15,6;36;;;;;;;;;;;;;;2,6;2,4;2,4;0,6;2,2;10,6;1,9;23;25,3;49;2,4;14,7;22;32;4,3;3,3;5;9;16;2;1,6;3,1;13;18;57;3,1
"Duinzigt";"'s-Gravenhage                           ";"Buurt     ";"BU05180476";"1";0,7;1,4;9,7;33,4;5,5;1;1,2;1;7;16;1,2;1;5;9;;;;;;0,5;1;10,5;49,5;0,4;4,7;66,6;316,3;3,5;6,4;18,1;41;2,6;0;10,3;119,4;0,4;2,5;37,2;313,6;0,4;3;68,3;579,6;2,4;76,4;95,1;152;1,4;0;27,5;98,9;1,4;0,1;24,2;68,3;1,6;0;9,3;31,3;1,5;5;18,2;58,4;1,5;3,4;11,4;44,4;1,5;5;12,9;33,9;;;;;;;;;;;;;;1,4;3,5;3,5;1,8;3,3;11,3;2;21,6;25;48,9;3,1;12,2;22;32;5,2;3,3;4,8;8,6;16;0,4;2,7;2,7;12;18;56;3,1
