"Populatie";"Geslacht";"Persoonskenmerken";"Vervoerwijzen";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per dag /Verplaatsingen  (aantal)";"Gemiddeld per persoon per dag /Afstand  (reizigerskilometers)";"Gemiddeld per persoon per dag /Reisduur (minuten)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2018";"Nederland";2,78;36,16;74,6
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2019";"Nederland";2,71;36;74,39
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2020";"Nederland";2,35;24,88;61,96
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2021";"Nederland";2,51;27,24;69,85
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2022";"Nederland";2,7;30,21;72,69
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2023";"Nederland";2,72;31,97;73,51
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2024*";"Nederland";2,71;32,35;74,23
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2018";"Nederland";0,96;18,16;24,52
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2019";"Nederland";0,95;18,02;24,52
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2020";"Nederland";0,81;13,14;18,63
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2021";"Nederland";0,82;14,05;19,99
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2022";"Nederland";0,87;15,13;21,44
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2023";"Nederland";0,91;16,12;22,72
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto (bestuurder)";"Waarde";"2024*";"Nederland";0,9;16,31;23,04
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Personenauto  (passagier)";"Waarde";"2018";"Nederland";0,32;6,66;9,28
