"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging gemeente, wijk, buurt (code)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)";"Wonen en vastgoed/Woningvoorraad (aantal)";"Wonen en vastgoed/Nieuwbouw woningen  (aantal)";"Wonen en vastgoed/Niet-woningvoorraad (aantal)";"Wonen en vastgoed/Nieuwbouw niet-woningen (aantal)";"Wonen en vastgoed/Gemiddelde WOZ-waarde van woningen (x 1 000 euro)";"Wonen en vastgoed/Woningen naar type/Percentage eengezinswoning (%)";"Wonen en vastgoed/Woningen naar type/Percentage tussenwoning (eengezins) (%)";"Wonen en vastgoed/Woningen naar type/Percentage hoekwoning (eengezins) (%)";"Wonen en vastgoed/Woningen naar type/Percentage twee-onder-één-kap-woning (ee (%)";"Wonen en vastgoed/Woningen naar type/Percentage vrijstaande woning (eengezins (%)";"Wonen en vastgoed/Woningen naar type/Percentage meergezinswoning (%)";"Wonen en vastgoed/Onbewoonde woningen (%)";"Wonen en vastgoed/Woningen naar eigendom/Koopwoningen (%)";"Wonen en vastgoed/Woningen naar eigendom/Huurwoningen/Huurwoningen totaal (%)";"Wonen en vastgoed/Woningen naar eigendom/Huurwoningen/In bezit woningcorporatie (%)";"Wonen en vastgoed/Woningen naar eigendom/Huurwoningen/In bezit overige verhuurders (%)";"Wonen en vastgoed/Woningen naar bouwjaar/Bouwjaar meer dan tien jaar geleden (%)";"Wonen en vastgoed/Woningen naar bouwjaar/Bouwjaar afgelopen tien jaar (%)";"Energie/Gemiddelde elektriciteitslevering/Gemiddelde elektriciteitslevering totaal (kWh)";"Energie/Gemiddelde elektriciteitslevering/Gemiddelde elektriciteitsteruglevering ()";"Energie/Gemiddeld aardgasverbruik/Gemiddeld aardgasverbruik totaal (m³)";"Energie/Gemiddeld aardgasverbruik/Percentage woningen met stadsverwarming (%)";"Energie/Gemiddeld aardgasverbruik/Aardgasvrije woningen (%)";"Energie/Gemiddeld aardgasverbruik/Aardgaswoningen (%)";"Energie/Woningen met zonnestroom (%)";"Energie/Woningen hoofdz. elektrisch verwarmd (%)";"Energie/Aantal publieke laadpalen (aantal)";"Onderwijs/Onderwijssoort/Leerlingen po (aantal)";"Onderwijs/Onderwijssoort/Leerlingen vo (incl. vavo)  (aantal)";"Onderwijs/Onderwijssoort/Studenten mbo (excl. extranei) (aantal)";"Onderwijs/Onderwijssoort/Studenten hbo (aantal)";"Onderwijs/Onderwijssoort/Studenten wo (aantal)";"Onderwijs/Hoogst behaald onderwijsniveau/Basisonderwijs, vmbo, mbo1 (aantal)";"Onderwijs/Hoogst behaald onderwijsniveau/Havo, vwo, mbo2-4 (aantal)";"Onderwijs/Hoogst behaald onderwijsniveau/Hbo, wo (aantal)";"Arbeid/Werkzame beroepsbevolking (aantal)";"Arbeid/Nettoarbeidsparticipatie (%)";"Arbeid/Onderverdeling werkenden/Percentage werknemers (%)";"Arbeid/Onderverdeling werkenden/Werknemers met vaste arbeidsr (%)";"Arbeid/Onderverdeling werkenden/Werknemers met flexibele arbe (%)";"Arbeid/Onderverdeling werkenden/Percentage zelfstandigen (%)";"Inkomen/Personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Personen/40% personen met laagste inkomen (%)";"Inkomen/Personen/20% personen met hoogste inkomen (%)";"Inkomen/Personen/Personen in armoede (%)";"Inkomen/Personen/Personen tot 25% boven armoedegrens (%)";"Inkomen/Huishoudens/Gem. gestandaardiseerd inkomen (x 1 000 euro)";"Inkomen/Huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)";"Sociale zekerheid/Personen per soort uitkering; Bijstand (aantal)";"Sociale zekerheid/Personen per soort uitkering; AO (aantal)";"Sociale zekerheid/Personen per soort uitkering; WW (aantal)";"Sociale zekerheid/Personen per soort uitkering; AOW (aantal)";"Zorg/Jongeren met jeugdzorg in natura (aantal)";"Zorg/Percentage jongeren met jeugdzorg (%)";"Zorg/Wmo-cliënten (aantal)";"Zorg/Wmo-cliënten relatief (per 1 000 inwoners)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen totaal (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/A Landbouw, bosbouw en visserij (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/B-F Nijverheid en energie (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/G+I Handel en horeca (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/H+J Vervoer, informatie en communicatie (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/K-L Financiële diensten, onroerend goed (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/M-N Zakelijke dienstverlening (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/O-Q Overheid, onderwijs en zorg (aantal)";"Bedrijfsvestigingen, SBI 2008/Bedrijfsvestigingen naar activiteit/R-U Cultuur, recreatie, overige diensten (aantal)";"Motorvoertuigen/Personenauto's/Personenauto's totaal (aantal)";"Motorvoertuigen/Personenauto's/Personenauto's; brandstoftype/Personenauto's; brandstof benzine (aantal)";"Motorvoertuigen/Personenauto's/Personenauto's; brandstoftype/Personenauto's; overige brandstof (aantal)";"Motorvoertuigen/Personenauto's/Personenauto's per huishouden (per huishouden)";"Motorvoertuigen/Personenauto's/Personenauto's naar oppervlakte (per km²)";"Motorvoertuigen/Motorfietsen (aantal)";"Nabijheid voorzieningen/Afstand tot huisartsenpraktijk (km)";"Nabijheid voorzieningen/Afstand tot grote supermarkt (km)";"Nabijheid voorzieningen/Afstand tot kinderdagverblijf (km)";"Nabijheid voorzieningen/Basisonderwijs/Afstand tot school (km)";"Nabijheid voorzieningen/Basisonderwijs/Scholen binnen 3 km (aantal)";"Oppervlakte/Oppervlakte totaal (ha)";"Oppervlakte/Oppervlakte land (ha)";"Oppervlakte/Oppervlakte water (ha)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)";"Stedelijkheid/Mate van stedelijkheid (code)";"Stedelijkheid/Omgevingsadressendichtheid (per km²)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";18044027;8978451;9065576;2698534;2205523;4650069;4734222;3755679;9033869;6747136;1397508;865514;12902189;1712005;3429833;12902189;611448;1504734;1100557;1925099;;;;;8430352;3380900;2391806;2657646;2,1;536;8274478;;1212492;;398;63;29;13;9;13;37;4;57;42;28;14;92;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2551540;81035;368615;419230;202150;123345;647530;435095;274540;9247810;6861660;2386150;1,1;275;720590;1,1;1;0,7;0,8;9,8;4154337;3364723;789614;"         .";;2;2077
"'s-Gravenhage";"'s-Gravenhage                           ";"Gemeente  ";"GM0518    ";"1";568945;283615;285330;87708;73577;172265;147524;87871;334779;164801;50733;18632;224131;102190;242624;224131;23558;100608;78632;142016;;;;;285140;140675;61238;83227;2;6901;274171;;27657;;383;21;16;4;1;1;79;7;43;57;30;27;94;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100760;4330;21635;12645;7675;3235;24090;17160;9990;204250;149490;54760;0,7;2478;11600;0,7;0,6;0,5;0,6;30,8;9812;8244;1568;"         .";;1;5076
"Wijk 01 Oostduinen";"'s-Gravenhage                           ";"Wijk      ";"WK051801  ";"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;0;0;;;0;;;;;;322;312;10;"         .";;4;661
"Oostduinen";"'s-Gravenhage                           ";"Buurt     ";"BU05180170";"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;0;0;;;0;;;;;;322;312;10;"      2597";5;4;661
"Wijk 02 Belgisch Park";"'s-Gravenhage                           ";"Wijk      ";"WK051802  ";"1";8360;4070;4295;1225;1260;1840;2280;1760;4690;2645;660;370;4945;1585;1835;4945;475;720;1105;1115;;;;;4305;2155;1025;1125;1,9;7879;4165;;458;;541;20;13;4;1;1;80;11;61;38;13;25;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1505;5;120;265;95;90;480;280;170;3010;2210;800;0,7;2837;230;0,8;0,4;0,5;0,6;8,3;106;106;0;"         .";;1;2518
"Belgisch Park";"'s-Gravenhage                           ";"Buurt     ";"BU05180271";"1";8365;4065;4290;1220;1260;1840;2280;1755;4690;2640;655;370;4940;1585;1830;4945;475;720;1105;1115;;;;;4305;2155;1025;1120;1,9;7879;4165;;458;;541;20;13;4;1;1;80;11;61;38;13;25;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1505;5;120;265;95;90;480;280;170;3010;2210;800;0,7;2837;230;0,8;0,4;0,5;0,6;8,3;106;106;0;"      2587";3;1;2518
"Wijk 03 Westbroekpark en Duttendel";"'s-Gravenhage                           ";"Wijk      ";"WK051803  ";"1";2365;1060;1310;300;220;335;600;915;950;975;215;230;1450;415;500;1455;155;170;265;330;;;;;1150;530;355;265;2;1380;1387;;327;;752;28;6;5;11;6;72;16;61;39;4;35;93;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;415;0;20;30;15;60;175;75;35;1165;845;320;1;678;50;1,1;1,3;0,6;0,6;14,3;179;172;8;"         .";;2;1751
"Westbroekpark";"'s-Gravenhage                           ";"Buurt     ";"BU05180373";"1";1055;475;575;110;90;100;235;525;350;475;100;130;645;190;215;645;75;70;120;145;;;;;540;255;190;100;1,9;2550;643;;58;;754;20;6;5;7;3;80;17;60;40;8;32;85;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;0;10;10;5;25;70;30;15;510;360;145;0,9;1234;10;0,8;1,1;0,8;0,8;16,4;46;41;5;"      2597";4;2;2444
"Duttendel";"'s-Gravenhage                           ";"Buurt     ";"BU05180374";"1";1315;580;730;190;135;240;360;390;605;495;115;100;805;225;285;805;80;100;145;185;;;;;610;280;160;170;2;1010;744;;269;;750;34;6;5;14;9;66;15;61;38;0;38;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;0;10;20;10;35;105;45;20;655;485;170;1,1;503;40;1,3;1,4;0,5;0,5;12,7;133;130;3;"      2597";1;3;1272
"Wijk 04 Benoordenhout";"'s-Gravenhage                           ";"Wijk      ";"WK051804  ";"1";15230;7200;8030;2615;1370;3095;4020;4130;7200;5865;1155;1010;8060;3485;3680;8060;1045;1395;2445;2285;;;;;7205;3140;1915;2150;2,1;5677;7886;;1465;;654;27;22;4;1;1;73;14;69;31;3;27;96;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2675;0;100;250;215;180;1105;590;230;6220;4490;1730;0,9;2318;210;0,8;0,6;0,8;0,9;12,6;274;268;6;"         .";;2;2205
"Nassaubuurt";"'s-Gravenhage                           ";"Buurt     ";"BU05180448";"1";1695;825;870;295;180;420;460;345;860;680;95;70;890;350;455;895;100;165;250;295;;;;;800;335;215;260;2,1;5988;785;;96;;812;45;40;5;0;0;55;11;69;29;1;28;99;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;610;0;20;65;60;40;255;115;55;750;515;230;0,9;2641;30;0,5;0,5;0,5;0,6;17,3;29;28;0;"      2596";1;1;3424
"Uilennest";"'s-Gravenhage                           ";"Buurt     ";"BU05180475";"1";2320;1095;1235;320;195;555;645;605;1205;780;215;125;1170;520;635;1170;150;220;365;415;;;;;1235;655;300;285;1,8;7884;1291;;210;;519;14;12;2;0;0;86;11;79;21;0;21;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;0;15;20;25;15;150;90;35;965;725;240;0,8;3280;35;1,3;0,4;1,2;1,1;12,6;30;29;1;"      2597";3;2;1996
"Duinzigt";"'s-Gravenhage                           ";"Buurt     ";"BU05180476";"1";2660;1160;1500;240;165;375;515;1365;875;1045;285;455;1525;490;640;1530;180;245;315;390;;;;;1460;810;430;225;1,7;3826;1750;;733;;554;7;1;2;1;3;93;12;63;36;2;34;99;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;0;10;30;20;20;125;70;25;1275;965;310;0,9;1838;40;1,1;0,5;1,4;1,6;9,3;70;69;0;"      2597";1;3;1401
"Waalsdorp";"'s-Gravenhage                           ";"Buurt     ";"BU05180477";"1";4085;1970;2120;890;435;705;1215;845;2050;1650;230;155;2285;905;900;2285;320;375;585;520;;;;;1735;605;435;695;2,4;6369;1787;;163;;811;52;43;5;3;1;48;10;82;18;0;18;98;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;640;0;15;40;50;45;270;170;55;1590;1145;445;0,9;2475;50;0,6;1;0,6;0,8;11,1;65;64;0;"      2597";5;2;2143
"Arendsdorp";"'s-Gravenhage                           ";"Buurt     ";"BU05180478";"1";2000;970;1025;370;170;455;480;530;940;765;160;140;860;645;490;860;130;175;515;315;;;;;890;380;240;265;2,1;3898;1162;;117;;553;26;19;6;1;1;74;32;39;60;18;42;80;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;325;0;25;20;25;40;140;60;25;700;475;225;0,8;1362;20;0,7;0,6;0,6;0,7;14,5;55;51;4;"      2596";1;1;2955
"Van Hoytemastraat e.o.";"'s-Gravenhage                           ";"Buurt     ";"BU05180479";"1";2465;1185;1280;505;225;590;715;435;1270;950;175;70;1325;580;565;1325;170;220;410;350;;;;;1075;360;290;420;2,3;9637;1111;;146;;700;24;20;3;0;1;76;9;76;23;0;23;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;445;0;15;75;40;25;165;85;35;945;665;280;0,9;3682;35;0,9;0,4;0,5;0,4;13,9;26;26;0;"      2596";1;1;2521
