"Arbeidsdeelname; kerncijfers, 2003-2022"
"Geslacht: Totaal mannen en vrouwen"
"Leeftijd: 15 tot 75 jaar"
"Hoogst behaald onderwijsniveau: Totaal"
"";"";"Perioden"
"Onderwerp";"";"2021 1e kwartaal";"2021 2e kwartaal";"2021 3e kwartaal";"2021 4e kwartaal";"2022 1e kwartaal"
"Beroeps- en niet-beroepsbevolking";"x 1 000";"13148";"13139";"13128";"13170";"13175"
"Beroepsbevolking|Beroepsbevolking";"x 1 000";"9599";"9623";"9697";"9734";"9768"
"Beroepsbevolking|Werkzame beroepsbevolking|Werkzame beroepsbevolking";"x 1 000";"9135";"9207";"9309";"9370";"9412"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Werknemer|Werknemer";"x 1 000";"7699";"7776";"7866";"7900";"7926"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Werknemer|Werknemer met vaste arbeidsrelatie";"x 1 000";"5180";"5247";"5234";"5261";"5296"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Werknemer|Werknemer met flexibele arbeidsrelatie";"x 1 000";"2519";"2529";"2632";"2639";"2630"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Zelfstandige|Zelfstandige";"x 1 000";"1437";"1431";"1443";"1470";"1486"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Zelfstandige|Zelfstandige zonder personeel (zzp)";"x 1 000";"1071";"1069";"1077";"1097";"1120"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Zelfstandige|Zelfstandige met personeel";"x 1 000";"334";"332";"329";"340";"336"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Zelfstandige|Meewerkend gezinslid";"x 1 000";"32";"31";"37";"33";"31"
"Beroepsbevolking|Werkzame beroepsbevolking|Positie in de werkkring|Positie in de werkkring onbekend";"x 1 000";"0";"0";"0";"0";"0"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|Deeltijd";"x 1 000";"4422";"4434";"4458";"4510";"4500"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|Minder dan 20 uur per week|Minder dan 20 uur per week";"x 1 000";"1598";"1571";"1524";"1564";"1555"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|Minder dan 20 uur per week|Minder dan 12 uur per week";"x 1 000";"877";"866";"821";"882";"886"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|Minder dan 20 uur per week|12 tot 20 uur per week";"x 1 000";"721";"704";"703";"682";"670"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|20 tot 35 uur per week|20 tot 35 uur per week";"x 1 000";"2824";"2863";"2934";"2946";"2945"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|20 tot 35 uur per week|20 tot 28 uur per week";"x 1 000";"1252";"1272";"1305";"1293";"1279"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Deeltijd|20 tot 35 uur per week|28 tot 35 uur per week";"x 1 000";"1572";"1592";"1629";"1653";"1666"
"Beroepsbevolking|Werkzame beroepsbevolking|Arbeidsduur|Voltijd";"x 1 000";"4713";"4773";"4851";"4860";"4912"
"Beroepsbevolking|Werkloze beroepsbevolking";"x 1 000";"464";"416";"389";"364";"356"
"Beroepsbevolking|Werkloosheidspercentage";"%";"4,8";"4,3";"4,0";"3,7";"3,6"
"Niet-beroepsbevolking";"x 1 000";"3549";"3516";"3431";"3437";"3407"
"Bruto arbeidsparticipatie";"%";"73,0";"73,2";"73,9";"73,9";"74,1"
"Netto arbeidsparticipatie";"%";"69,5";"70,1";"70,9";"71,1";"71,4"
"Bron: CBS"
