"Bevolking; onderwijsniveau en migratieachtergrond 2003-2021"
"Geslacht: Totaal mannen en vrouwen"
"Perioden: 2021 2e kwartaal"
"";""
"";"Onderwerp";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"";"Leeftijd";"15 jaar of ouder";"15 tot 75 jaar";"15 tot 25 jaar";"25 tot 35 jaar";"35 tot 45 jaar";"45 tot 55 jaar";"55 tot 65 jaar";"65 tot 75 jaar";"75 jaar of ouder"
"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000"
"Nederlandse achtergrond";"Totaal";"11116";"9867";"1565";"1597";"1400";"1743";"1881";"1680";"1249"
"Nederlandse achtergrond";"11 Basisonderwijs";"902";"629";"193";"26";"27";"51";"106";"225";"274"
"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"1311";"982";"130";"53";"79";"146";"251";"324";"329"
"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"938";"813";"363";"43";"45";"65";"138";"159";"125"
"Nederlandse achtergrond";"211 Mbo2 en mbo3";"1520";"1319";"103";"192";"180";"239";"308";"298";"201"
"Nederlandse achtergrond";"212 Mbo4";"1593";"1508";"153";"256";"272";"379";"286";"162";"85"
"Nederlandse achtergrond";"213 Havo, vwo";"990";"945";"423";"107";"80";"104";"145";"86";"45"
"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2443";"2313";"162";"539";"443";"468";"408";"291";"130"
"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"1315";"1267";"32";"366";"264";"275";"219";"111";"49"
"Nederlandse achtergrond";"Weet niet of onbekend";"104";"91";"6";"16";"10";"16";"19";"24";"13"
"Westerse migratieachtergrond";"Totaal";"1561";"1422";"195";"224";"267";"295";"270";"172";"139"
"Westerse migratieachtergrond";"11 Basisonderwijs";"107";"80";"25";"4";"10";"9";"14";"17";"28"
"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"127";"103";"15";"9";"11";"19";"26";"22";"24"
"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"115";"103";"46";"4";"7";"14";"19";"13";"12"
"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"216";"192";"11";"24";"37";"46";"44";"30";"24"
"Westerse migratieachtergrond";"212 Mbo4";"130";"123";"8";"19";"24";"34";"26";"12";"7"
"Westerse migratieachtergrond";"213 Havo, vwo";"160";"152";"63";"17";"20";"18";"24";"10";"8"
"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"333";"322";"21";"62";"76";"70";"61";"31";"12"
"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"324";"310";"3";"80";"73";"75";"48";"31";"14"
"Westerse migratieachtergrond";"Weet niet of onbekend";"47";"37";"1";"7";"8";"9";"7";"6";"10"
"Niet-westerse migratieachtergrond";"Totaal";"1838";"1801";"360";"400";"386";"330";"230";"94";"37"
"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"256";"243";"61";"24";"45";"53";"45";"15";"12"
"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"176";"174";"53";"31";"27";"26";"28";"8";"3"
"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"173";"170";"85";"23";"18";"18";"16";"10";"4"
"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"205";"200";"22";"37";"52";"37";"34";"18";"5"
"Niet-westerse migratieachtergrond";"212 Mbo4";"184";"184";"21";"59";"50";"27";"17";"10";"0"
"Niet-westerse migratieachtergrond";"213 Havo, vwo";"209";"207";"88";"39";"25";"32";"15";"8";"2"
"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"341";"337";"24";"110";"90";"69";"34";"8";"4"
"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"205";"201";"4";"63";"55";"48";"22";"7";"5"
"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"88";"86";"2";"13";"24";"20";"18";"9";"3"
"Bron: CBS"
