"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
"Perioden: 2017"
"";"";"Regio's"
"Onderwerp";"";"Zuid-Holland (PV)";"Agglomeratie Leiden en Bollenstreek (CR)";"Agglomeratie 's-Gravenhage (CR)";"Delft en Westland (CR)";"Oost-Zuid-Holland (CR)";"Groot-Rijnmond (CR)";"Zuidoost-Zuid-Holland (CR)";"Rotterdam (SG)";"Rotterdam (GA)";"Rotterdam"
"Totale oppervlakte";"ha";"341878";"31836";"28631";"16418";"52112";"161601";"51280";"";"";"32416"
"Verkeersterrein|Totaal verkeersterrein";"ha";"13198";"1217";"1351";"799";"1423";"6382";"2027";"";"";"2184"
"Verkeersterrein|Spoorterrein";"ha";"1541";"146";"141";"13";"147";"773";"322";"";"";"571"
"Verkeersterrein|Wegverkeersterrein";"ha";"11576";"1044";"1210";"786";"1276";"5555";"1705";"";"";"1559"
"Verkeersterrein|Vliegveld";"ha";"81";"27";"0";"0";"0";"54";"0";"";"";"54"
"Bebouwd terrein|Totaal bebouwd terrein";"ha";"58654";"6500";"9768";"3436";"5634";"25896";"7420";"";"";"12081"
"Bebouwd terrein|Woonterrein";"ha";"36447";"4479";"7203";"2052";"3768";"14201";"4744";"";"";"4689"
"Bebouwd terrein|Terrein voor detailhandel en horeca";"ha";"2123";"245";"511";"143";"155";"877";"192";"";"";"406"
"Bebouwd terrein|Terrein voor openbare voorzieningen";"ha";"1290";"102";"248";"93";"107";"600";"140";"";"";"299"
"Bebouwd terrein|Terrein voor sociaal-culturele voorz.";"ha";"2335";"438";"485";"190";"201";"774";"247";"";"";"353"
"Bebouwd terrein|Bedrijventerrein";"ha";"16458";"1236";"1320";"957";"1403";"9444";"2098";"";"";"6334"
"Semi-bebouwd terrein|Totaal semi-bebouwd terrein";"ha";"5819";"435";"445";"305";"476";"3492";"666";"";"";"1959"
"Semi-bebouwd terrein|Stortplaats";"ha";"179";"6";"0";"0";"3";"84";"86";"";"";"74"
"Semi-bebouwd terrein|Wrakkenopslagplaats";"ha";"40";"2";"0";"3";"1";"29";"7";"";"";"19"
"Semi-bebouwd terrein|Begraafplaats";"ha";"634";"55";"107";"39";"61";"287";"85";"";"";"107"
"Semi-bebouwd terrein|Delfstofwinplaats";"ha";"50";"5";"1";"5";"0";"39";"0";"";"";"10"
"Semi-bebouwd terrein|Bouwterrein";"ha";"4270";"367";"326";"257";"392";"2535";"393";"";"";"1488"
"Semi-bebouwd terrein|Semi-verhard overig terrein";"ha";"645";"1";"11";"0";"19";"519";"96";"";"";"260"
"Recreatieterrein|Totaal recreatieterrein";"ha";"17314";"1842";"3296";"881";"1611";"7853";"1830";"";"";"2536"
"Recreatieterrein|Park en plantsoen";"ha";"7162";"610";"1608";"300";"498";"3411";"735";"";"";"1584"
"Recreatieterrein|Sportterrein";"ha";"5335";"625";"1081";"407";"678";"1947";"596";"";"";"492"
"Recreatieterrein|Volkstuin";"ha";"1019";"120";"200";"31";"82";"492";"93";"";"";"249"
"Recreatieterrein|Dagrecreatief terrein";"ha";"2237";"251";"303";"87";"181";"1111";"304";"";"";"169"
"Recreatieterrein|Verblijfsrecreatief terrein";"ha";"1560";"236";"104";"56";"172";"891";"102";"";"";"41"
"Agrarisch terrein|Totaal agrarisch terrein";"ha";"161766";"14580";"5993";"8825";"36551";"64124";"31693";"";"";"2320"
"Agrarisch terrein|Terrein voor glastuinbouw";"ha";"7747";"344";"582";"4117";"367";"2295";"43";"";"";"150"
"Agrarisch terrein|Overig agrarisch terrein";"ha";"154019";"14237";"5411";"4708";"36184";"61829";"31650";"";"";"2169"
"Bos en open natuurlijk terrein|Totaal  bos en open natuurlijk terrein";"ha";"23806";"3032";"4297";"815";"1542";"11415";"2704";"";"";"765"
"Bos en open natuurlijk terrein|Bos";"ha";"8570";"760";"1850";"221";"602";"3711";"1426";"";"";"157"
"Bos en open natuurlijk terrein|Open droog natuurlijk terrein";"ha";"8378";"2220";"2372";"426";"1";"3354";"4";"";"";"497"
"Bos en open natuurlijk terrein|Open nat natuurlijk terrein";"ha";"6857";"51";"75";"168";"939";"4350";"1273";"";"";"111"
"Binnenwater|Totaal binnenwater";"ha";"44890";"2197";"1283";"584";"4875";"31010";"4940";"";"";"7561"
"Binnenwater|IJsselmeer / Markermeer";"ha";"";"";"";"";"";"";"";"";"";""
"Binnenwater|Afgesloten zeearm";"ha";"17560";"";"";"";"";"17480";"81";"";"";""
"Binnenwater|Rijn en Maas";"ha";"6272";"";"";"";"376";"3475";"2421";"";"";"1908"
"Binnenwater|Randmeer";"ha";"";"";"";"";"";"";"";"";"";""
"Binnenwater|Spaarbekken";"ha";"195";"0";"0";"0";"0";"133";"62";"";"";"4"
"Binnenwater|Recreatief binnenwater";"ha";"1607";"191";"440";"107";"139";"635";"95";"";"";"226"
"Binnenwater|Binnenwater voor delfstofwinning";"ha";"30";"0";"0";"0";"0";"30";"0";"";"";"0"
"Binnenwater|Vloei- en/of slibveld";"ha";"165";"0";"0";"0";"0";"165";"0";"";"";"157"
"Binnenwater|Overig binnenwater";"ha";"19061";"2005";"843";"477";"4360";"9093";"2282";"";"";"5266"
"Buitenwater|Totaal buitenwater";"ha";"16432";"2033";"2198";"773";"";"11429";"";"";"";"3011"
"Buitenwater|Waddenzee, Eems, Dollard";"ha";"";"";"";"";"";"";"";"";"";""
"Buitenwater|Oosterschelde";"ha";"";"";"";"";"";"";"";"";"";""
"Buitenwater|Westerschelde";"ha";"";"";"";"";"";"";"";"";"";""
"Buitenwater|Noordzee";"ha";"16432";"2033";"2198";"773";"";"11429";"";"";"";"3011"
"Bron: CBS"
