"Logiesaccommodaties; gasten, nachten, woonland, logiesvorm, regio"
"Logiesvormen: Totaal logiesaccommodaties"
"";"";"";"";"Regio's"
"Perioden";"Onderwerp";"Woonland van gasten";"";"Nederland";"Groningen (PV)";"Fryslân (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"2021 maart";"Gasten";"Totaal landen";"x 1 000";"1167";"20";"56";"62";"68";"21";"173";"61";"228";"165";"89";"112";"111"
"2021 maart";"Gasten";"Nederland";"x 1 000";"1042";"17";"53";"60";"63";"20";"166";"57";"183";"140";"82";"99";"101"
"2021 maart";"Gasten";"Totaal buitenland";"x 1 000";"125";"3";"4";"2";"5";"1";"7";"4";"45";"25";"7";"12";"10"
"2021 maart";"Gasten";"Europa exclusief Nederland";"x 1 000";"104";"2";"3";"2";"5";"1";"6";"4";"35";"21";"6";"10";"9"
"2021 maart";"Gasten";"Duitsland";"x 1 000";"25";"1";"1";"0";"1";"0";"2";"1";"6";"5";"3";"3";"3"
"2021 maart";"Gasten";"België";"x 1 000";"14";"0";"0";"0";"1";"0";"1";"1";"3";"3";"2";"1";"1"
"2021 maart";"Gasten";"Verenigd Koninkrijk";"x 1 000";"6";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0"
"2021 maart";"Gasten";"Frankrijk";"x 1 000";"8";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"1";"0"
"2021 maart";"Gasten";"Zwitserland en Liechtenstein";"x 1 000";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Gasten";"Italië";"x 1 000";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"2021 maart";"Gasten";"Spanje";"x 1 000";"4";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"2021 maart";"Gasten";"Denemarken";"x 1 000";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Gasten";"Zweden";"x 1 000";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Gasten";"Overige landen Eurozone";"x 1 000";"12";"0";"0";"0";"0";"0";"1";"0";"5";"2";"1";"1";"1"
"2021 maart";"Gasten";"Overig Europa";"x 1 000";"25";"0";"0";"0";"1";"0";"2";"1";"9";"5";"1";"3";"2"
"2021 maart";"Gasten";"Amerika";"x 1 000";"7";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"1"
"2021 maart";"Gasten";"Azië";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"5";"2";"0";"1";"0"
"2021 maart";"Gasten";"Australië en Oceanië";"x 1 000";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Gasten";"Afrika";"x 1 000";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Overnachtingen";"Totaal landen";"x 1 000";"3070";"53";"167";"211";"177";"64";"491";"117";"534";"383";"264";"295";"313"
"2021 maart";"Overnachtingen";"Nederland";"x 1 000";"2793";"46";"158";"206";"167";"60";"476";"108";"446";"325";"242";"267";"291"
"2021 maart";"Overnachtingen";"Totaal buitenland";"x 1 000";"277";"7";"9";"4";"10";"3";"16";"9";"88";"58";"22";"29";"23"
"2021 maart";"Overnachtingen";"Europa exclusief Nederland";"x 1 000";"241";"6";"8";"4";"9";"3";"15";"8";"70";"50";"21";"26";"21"
"2021 maart";"Overnachtingen";"Duitsland";"x 1 000";"73";"3";"4";"0";"2";"0";"5";"2";"16";"14";"10";"7";"8"
"2021 maart";"Overnachtingen";"België";"x 1 000";"30";"0";"0";"0";"2";"0";"1";"1";"5";"7";"5";"3";"4"
"2021 maart";"Overnachtingen";"Verenigd Koninkrijk";"x 1 000";"18";"0";"0";"0";"0";"0";"0";"0";"7";"5";"0";"2";"0"
"2021 maart";"Overnachtingen";"Frankrijk";"x 1 000";"14";"0";"0";"0";"0";"0";"0";"0";"7";"3";"0";"1";"0"
"2021 maart";"Overnachtingen";"Zwitserland en Liechtenstein";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Overnachtingen";"Italië";"x 1 000";"10";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0"
"2021 maart";"Overnachtingen";"Spanje";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"3";"2";"0";"0";"0"
"2021 maart";"Overnachtingen";"Denemarken";"x 1 000";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"2021 maart";"Overnachtingen";"Zweden";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"2021 maart";"Overnachtingen";"Overige landen Eurozone";"x 1 000";"27";"0";"0";"0";"0";"0";"3";"0";"8";"4";"2";"4";"2"
"2021 maart";"Overnachtingen";"Overig Europa";"x 1 000";"51";"0";"0";"0";"2";"0";"3";"2";"16";"13";"2";"6";"4"
"2021 maart";"Overnachtingen";"Amerika";"x 1 000";"15";"0";"0";"0";"0";"0";"0";"0";"6";"4";"0";"2";"1"
"2021 maart";"Overnachtingen";"Azië";"x 1 000";"15";"0";"0";"0";"0";"0";"0";"0";"8";"3";"0";"1";"0"
"2021 maart";"Overnachtingen";"Australië en Oceanië";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"2021 maart";"Overnachtingen";"Afrika";"x 1 000";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"2022 maart";"Gasten";"Totaal landen";"x 1 000";"2893";"42";"107";"139";"125";"47";"282";"141";"868";"381";"184";"303";"275"
"2022 maart";"Gasten";"Nederland";"x 1 000";"1970";"35";"95";"127";"105";"40";"253";"116";"373";"259";"108";"243";"216"
"2022 maart";"Gasten";"Totaal buitenland";"x 1 000";"922";"7";"12";"12";"20";"7";"28";"25";"495";"122";"76";"60";"59"
"2022 maart";"Gasten";"Europa exclusief Nederland";"x 1 000";"801";"7";"11";"12";"19";"6";"27";"22";"401";"110";"75";"56";"56"
"2022 maart";"Gasten";"Duitsland";"x 1 000";"286";"4";"6";"8";"7";"3";"13";"6";"113";"47";"42";"12";"25"
"2022 maart";"Gasten";"België";"x 1 000";"153";"1";"2";"2";"2";"2";"6";"5";"39";"23";"29";"23";"18"
"2022 maart";"Gasten";"Verenigd Koninkrijk";"x 1 000";"77";"0";"0";"1";"1";"0";"1";"2";"59";"7";"0";"3";"2"
