"Mobiliteit; per persoon, persoonskenmerken, vervoerwijzen en regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Geslacht: Totaal mannen en vrouwen"
"Marges: Waarde"
"Regio's: Nederland"
""
"Vervoerwijzen";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Totaal";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto (bestuurder)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Personenauto  (passagier)";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Trein";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets";"Fiets"
"Onderwerp";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur";"Gemiddeld per persoon per dag |Reisduur"
"Perioden";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*";"2018";"2019";"2020";"2021";"2022";"2023";"2024*"
"Persoonskenmerken";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Totaal personen";"2,78";"2,71";"2,35";"2,51";"2,70";"2,72";"2,71";"36,16";"36,00";"24,88";"27,24";"30,21";"31,97";"32,35";"74,60";"74,39";"61,96";"69,85";"72,69";"73,51";"74,23";"0,96";"0,95";"0,81";"0,82";"0,87";"0,91";"0,90";"18,16";"18,02";"13,14";"14,05";"15,13";"16,12";"16,31";"24,52";"24,52";"18,63";"19,99";"21,44";"22,72";"23,04";"0,32";"0,31";"0,24";"0,26";"0,28";"0,30";"0,29";"6,66";"6,65";"4,37";"5,10";"5,46";"6,04";"5,95";"9,28";"9,38";"6,66";"7,81";"8,12";"8,72";"8,73";"0,08";"0,08";"0,03";"0,03";"0,05";"0,07";"0,07";"3,88";"4,08";"1,60";"1,67";"2,62";"3,26";"3,30";"6,11";"6,39";"2,53";"2,77";"4,25";"5,30";"5,33";"0,79";"0,76";"0,63";"0,64";"0,75";"0,73";"0,75";"3,16";"3,01";"2,61";"2,68";"3,04";"2,92";"3,04";"16,46";"16,26";"14,74";"15,18";"16,72";"15,81";"16,29"
"Leeftijd:6 tot 12 jaar";"3,16";"3,12";"2,58";"2,80";"2,88";"2,84";"2,92";"17,89";"17,08";"13,50";"14,99";"15,56";"16,80";"17,36";"60,34";"58,72";"58,51";"66,82";"60,71";"60,47";"61,53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,03";"1,04";"0,78";"0,82";"0,88";"0,93";"0,91";"12,97";"12,30";"9,38";"10,51";"10,95";"11,95";"12,78";"20,63";"20,62";"16,58";"18,07";"19,13";"20,45";"21,29";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1,27";"1,19";"0,99";"1,01";"1,09";"1,08";"1,14";"2,55";"2,49";"2,18";"2,35";"2,34";"2,34";"2,45";"19,28";"19,85";"18,76";"21,10";"19,43";"19,33";"20,00"
"Leeftijd: 12 tot 18 jaar";"2,73";"2,64";"2,11";"2,35";"2,61";"2,65";"2,69";"23,27";"23,59";"15,58";"17,91";"20,17";"22,10";"21,62";"69,02";"69,31";"53,97";"65,39";"67,06";"68,62";"70,09";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0,53";"0,51";"0,41";"0,47";"0,46";"0,50";"0,50";"9,67";"10,95";"7,12";"8,57";"8,45";"10,26";"9,24";"14,57";"15,46";"10,50";"13,65";"12,66";"14,20";"14,14";"0,07";"0,06";"0,03";"0,04";"0,06";"0,05";"0,05";"2,90";"2,46";"1,03";"1,20";"1,99";"2,27";"2,11";"5,12";"4,29";"2,05";"2,35";"3,63";"4,14";"3,89";"1,59";"1,57";"1,20";"1,29";"1,54";"1,54";"1,55";"6,42";"6,22";"4,71";"5,15";"6,10";"6,21";"6,30";"32,90";"33,40";"26,42";"29,51";"33,01";"32,52";"33,23"
"Leeftijd: 18 tot 25 jaar";"2,74";"2,63";"2,23";"2,36";"2,56";"2,55";"2,53";"42,52";"41,57";"26,80";"31,46";"34,18";"35,41";"35,72";"84,38";"81,05";"61,92";"71,67";"77,49";"77,76";"77,43";"0,75";"0,75";"0,62";"0,65";"0,66";"0,65";"0,65";"14,63";"14,82";"10,14";"11,58";"12,08";"11,96";"11,97";"20,49";"20,77";"14,72";"17,00";"17,49";"17,25";"17,04";"0,30";"0,28";"0,27";"0,27";"0,28";"0,30";"0,29";"7,23";"6,51";"5,38";"6,08";"5,42";"6,37";"6,86";"10,17";"9,02";"8,24";"9,10";"8,59";"9,56";"9,42";"0,23";"0,24";"0,11";"0,13";"0,18";"0,21";"0,19";"11,32";"11,08";"5,31";"6,50";"8,63";"9,62";"9,03";"18,01";"17,91";"8,39";"10,75";"14,76";"16,94";"15,08";"0,77";"0,74";"0,63";"0,60";"0,69";"0,69";"0,71";"2,99";"2,85";"2,40";"2,27";"2,52";"2,62";"2,72";"14,76";"13,64";"12,85";"12,06";"13,68";"13,26";"13,52"
"Leeftijd: 25 tot 35 jaar";"2,99";"2,84";"2,43";"2,57";"2,72";"2,74";"2,76";"46,08";"45,45";"30,00";"32,83";"36,51";"38,98";"40,49";"82,99";"82,41";"65,74";"72,54";"76,40";"78,88";"81,54";"1,26";"1,18";"1,00";"1,02";"1,06";"1,09";"1,07";"25,07";"24,36";"18,08";"18,48";"19,71";"21,14";"21,85";"32,59";"31,82";"24,60";"25,04";"27,07";"28,65";"29,68";"0,26";"0,24";"0,18";"0,22";"0,23";"0,24";"0,23";"6,52";"5,95";"3,79";"5,39";"5,85";"5,76";"5,28";"8,48";"7,95";"5,54";"7,43";"7,68";"7,83";"7,48";"0,15";"0,16";"0,06";"0,06";"0,09";"0,12";"0,14";"7,05";"7,41";"2,98";"2,91";"4,73";"5,88";"6,62";"11,30";"11,29";"4,92";"4,86";"7,25";"9,20";"10,54";"0,65";"0,65";"0,50";"0,49";"0,58";"0,58";"0,59";"2,50";"2,53";"2,00";"1,97";"2,35";"2,42";"2,54";"11,75";"12,84";"11,61";"11,38";"12,39";"13,21";"12,83"
"Leeftijd: 35 tot 50 jaar";"3,20";"3,15";"2,77";"2,85";"3,07";"3,15";"3,14";"43,59";"44,10";"30,84";"30,84";"35,37";"37,26";"38,05";"79,45";"80,70";"66,76";"71,68";"75,66";"78,13";"79,69";"1,50";"1,50";"1,27";"1,23";"1,33";"1,39";"1,37";"27,57";"27,48";"19,94";"19,41";"22,15";"23,27";"23,90";"36,64";"36,24";"27,67";"27,69";"30,78";"32,31";"33,13";"0,21";"0,22";"0,16";"0,17";"0,18";"0,21";"0,20";"4,99";"5,55";"3,67";"3,89";"3,94";"4,45";"4,52";"6,41";"6,98";"5,02";"5,62";"5,49";"6,25";"6,21";"0,07";"0,08";"0,03";"0,03";"0,04";"0,06";"0,06";"3,09";"3,65";"1,27";"1,11";"2,21";"2,92";"3,07";"4,82";"5,72";"1,90";"1,87";"3,49";"4,54";"5,00";"0,75";"0,71";"0,61";"0,60";"0,72";"0,73";"0,76";"2,69";"2,52";"2,22";"2,17";"2,55";"2,58";"2,67";"13,25";"13,48";"12,28";"12,06";"13,57";"13,38";"14,18"
"Leeftijd: 50 tot 65 jaar";"2,80";"2,76";"2,50";"2,64";"2,84";"2,82";"2,79";"40,62";"40,47";"29,72";"32,18";"35,18";"37,53";"37,77";"78,10";"78,06";"67,96";"75,12";"78,15";"78,67";"78,98";"1,21";"1,22";"1,04";"1,08";"1,14";"1,21";"1,19";"23,81";"24,12";"18,03";"19,96";"21,01";"22,75";"22,89";"31,44";"31,90";"24,96";"27,18";"28,63";"31,07";"31,20";"0,24";"0,22";"0,17";"0,17";"0,20";"0,21";"0,22";"6,14";"5,63";"3,78";"4,01";"4,51";"5,27";"5,17";"7,91";"7,81";"5,57";"5,93";"6,33";"7,03";"7,22";"0,06";"0,06";"0,02";"0,02";"0,03";"0,04";"0,04";"2,91";"2,92";"1,09";"0,99";"1,71";"2,42";"2,20";"4,57";"4,51";"1,62";"1,65";"2,76";"3,68";"3,40";"0,69";"0,66";"0,57";"0,58";"0,67";"0,63";"0,63";"3,17";"3,07";"2,72";"2,82";"3,07";"2,81";"3,03";"15,46";"15,14";"14,08";"14,42";"15,71";"14,03";"15,03"
