"Nabijheid voorzieningen; afstand locatie, wijk- en buurtcijfers 2025"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Rotterdam";"Rotterdam Centrum";"Stadsdriehoek";"Oude Westen";"Cool";"Cs Kwartier";"Nieuwe Werk";"Dijkzigt";"Delfshaven";"Delfshaven";"Bospolder";"Tussendijken";"Spangen";"Nieuwe Westen";"Middelland";"Oud Mathenesse";"Witte Dorp";"Schiemond";"Overschie";"Kleinpolder";"Noord Kethel";"Schieveen";"Zestienhoven";"Overschie";"Landzicht";"Noord";"Agniesebuurt";"Provenierswijk";"Bergpolder";"Blijdorp";"Liskwartier";"Oude Noorden";"Blijdorpsepolder";"Hillegersberg-Schiebroek";"Schiebroek";"Hillegersberg Zuid";"Hillegersberg Noord";"Terbregge";"Molenlaankwartier";"Kralingen-Crooswijk";"Rubroek";"Nieuw Crooswijk";"Oud Crooswijk";"Kralingen West";"Kralingen Oost";"Kralingse Bos";"De Esch";"Struisenburg";"Feijenoord";"Kop van Zuid";"Kop van Zuid - Entrepot";"Vreewijk";"Bloemhof";"Hillesluis";"Katendrecht";"Afrikaanderwijk";"Feijenoord";"Noordereiland";"IJsselmonde";"Oud IJsselmonde";"Lombardijen";"Groot IJsselmonde";"Beverwaard";"Pernis";"Pernis";"Prins Alexander";"'s-Gravenland";"Kralingseveer";"Prinsenland";"Het Lage Land";"Ommoord";"Zevenkamp";"Oosterflank";"Nesselande";"Charlois";"Charlois Zuidrand";"Tarwewijk";"Carnisse";"Zuidwijk";"Oud Charlois";"Wielewaal";"Zuidplein";"Pendrecht";"Zuiderpark";"Heijplaat";"Hoogvliet";"Hoogvliet Noord";"Hoogvliet Zuid";"Hoek van Holland";"Strand en Duin";"Dorp";"Rijnpoort";"Spaanse Polder";"Spaanse Polder";"Nieuw Mathenesse";"Nieuw Mathenesse";"Waalhaven-Eemhaven";"Waalhaven";"Eemhaven";"Waalhaven Zuid";"Vondelingenplaat";"Vondelingenplaat";"Botlek-Europoort-Maasvlakte";"Botlek";"Europoort";"Maasvlakte";"Rotterdam-Noord-West";"Bedrijvenpark Noord-West";"Rivium";"Rivium";"Rozenburg";"Rozenburg";"Noordzeeweg"
"Regioaanduiding|Gemeentenaam";"naam";"Nederland";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam";"Rotterdam"
"Regioaanduiding|Soort regio";"omschrijving";"Land";"Gemeente";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Buurt"
"Regioaanduiding|Codering";"code";"NL00";"GM0599";"WK059901";"BU05990110";"BU05990111";"BU05990112";"BU05990113";"BU05990118";"BU05990119";"WK059903";"BU05990320";"BU05990321";"BU05990322";"BU05990323";"BU05990324";"BU05990325";"BU05990327";"BU05990328";"BU05990329";"WK059904";"BU05990451";"BU05990452";"BU05990454";"BU05990455";"BU05990456";"BU05990457";"WK059905";"BU05990515";"BU05990516";"BU05990531";"BU05990532";"BU05990534";"BU05990535";"BU05990558";"WK059906";"BU05990660";"BU05990661";"BU05990662";"BU05990664";"BU05990665";"WK059908";"BU05990814";"BU05990836";"BU05990837";"BU05990841";"BU05990842";"BU05990843";"BU05990845";"BU05990847";"WK059910";"BU05991017";"BU05991079";"BU05991080";"BU05991081";"BU05991082";"BU05991085";"BU05991086";"BU05991087";"BU05991088";"WK059912";"BU05991283";"BU05991284";"BU05991289";"BU05991290";"WK059913";"BU05991391";"WK059914";"BU05991444";"BU05991446";"BU05991448";"BU05991449";"BU05991463";"BU05991466";"BU05991467";"BU05991468";"WK059915";"BU05991570";"BU05991571";"BU05991572";"BU05991573";"BU05991574";"BU05991575";"BU05991576";"BU05991577";"BU05991578";"BU05991593";"WK059916";"BU05991692";"BU05991699";"WK059917";"BU05991701";"BU05991702";"BU05991703";"WK059918";"BU05991853";"WK059919";"BU05991926";"WK059921";"BU05992194";"BU05992196";"BU05992198";"WK059922";"BU05992295";"WK059923";"BU05992306";"BU05992307";"BU05992308";"WK059924";"BU05992459";"WK059925";"BU05992540";"WK059927";"BU05992704";"BU05992705"
"Regioaanduiding|Indelingswijziging wijken en buurten";"code";".";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gezondheid en welzijn|Huisartsenpraktijk|Afstand tot huisartsenpraktijk";"km";"1,1";"0,7";"0,6";"0,5";"0,7";"0,8";"1,2";"0,4";"0,4";"0,5";"0,8";"0,5";"0,4";"0,5";"0,6";"0,4";"0,6";"0,9";"0,4";"1,1";"0,4";"2,7";"3,7";"2,3";"0,9";"1,3";"0,5";"0,4";"0,7";"0,5";"0,5";"0,5";"0,6";"1,3";"0,7";"0,7";"0,4";"0,8";"0,9";"0,8";"0,6";"0,5";"0,5";"0,5";"0,5";"0,7";"1,3";"0,8";"0,7";"0,6";"0,4";"0,5";"0,7";"0,6";"0,7";"0,4";"0,8";"0,5";"1,0";"0,7";"1,8";"0,5";"0,6";"0,8";"0,6";"0,6";"0,9";"1,3";"1,1";"0,8";"0,4";"0,9";"0,9";"0,6";"1,1";"0,7";"1,5";"0,6";"0,5";"0,7";"0,5";"1,2";"0,8";"0,5";"0,8";"4,7";"1,0";"0,8";"1,2";"0,9";"1,8";"0,6";"2,7";"1,6";"1,6";"1,1";"1,1";"3,1";"2,3";"4,2";".";".";".";"7,8";".";".";"10,0";".";".";".";".";"1,2";"1,2";"."
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 1 km";"aantal";"1,2";"1,9";"2,2";"2,9";"2,1";"1,3";"0,5";"1,8";"2,9";"2,9";"1,7";"2,7";"4,4";"2,1";"3,8";"3,8";"2,2";"1,0";"1,1";"1,6";"2,8";"0,0";"0,0";"0,0";"1,5";"0,0";"3,2";"3,0";"2,3";"3,8";"2,6";"4,0";"3,2";"0,0";"1,3";"1,4";"2,5";"0,6";"0,8";"0,9";"2,7";"4,7";"1,9";"4,0";"2,9";"1,5";"0,1";"0,7";"1,0";"2,1";"1,6";"2,9";"2,5";"2,5";"1,5";"1,8";"2,1";"2,3";"0,6";"1,6";"0,0";"2,3";"2,0";"0,8";"0,9";"0,9";"1,0";"0,3";"0,3";"1,1";"2,6";"0,6";"0,7";"1,7";"0,4";"2,3";"0,0";"3,0";"3,5";"1,5";"2,8";"0,3";"2,0";"1,7";"1,1";"0,0";"0,6";"0,7";"0,5";"0,7";"0,0";"0,9";"0,0";"0,1";"0,1";"0,2";"0,2";"0,1";"0,2";"0,0";".";".";".";"0,0";".";".";"0,0";".";".";".";".";"0,4";"0,4";"."
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 3 km";"aantal";"7,7";"15,7";"31,8";"32,2";"32,6";"35,7";"34,0";"19,0";"26,8";"22,3";"20,2";"19,1";"21,8";"20,2";"24,5";"29,9";"17,2";"17,3";"17,2";"6,1";"7,2";"0,9";"0,7";"6,8";"4,5";"4,0";"26,6";"28,6";"30,0";"24,5";"28,9";"23,9";"26,2";"19,2";"9,2";"7,2";"18,3";"8,6";"5,4";"5,8";"18,5";"27,5";"21,2";"24,6";"18,1";"12,5";"10,9";"5,0";"15,9";"21,1";"19,8";"19,7";"21,9";"25,7";"23,2";"17,4";"23,9";"13,6";"15,2";"11,4";"7,5";"18,0";"10,7";"6,7";"1,0";"1,0";"7,5";"7,9";"3,1";"8,6";"9,8";"6,2";"7,6";"12,3";"3,5";"16,0";"4,3";"25,8";"20,5";"13,0";"13,7";"9,7";"24,6";"11,3";"18,4";"0,0";"4,9";"4,4";"5,1";"1,2";"1,6";"1,0";"0,7";"11,8";"11,8";"17,0";"17,0";"3,4";"5,1";"1,5";".";".";".";"0,0";".";".";"0,0";".";".";".";".";"1,0";"1,0";"."
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 5 km";"aantal";"16,9";"40,2";"68,1";"64,6";"71,8";"71,0";"66,9";"70,0";"72,1";"56,8";"61,1";"52,6";"55,6";"48,8";"63,0";"69,7";"37,5";"38,2";"51,3";"33,1";"41,7";"2,7";"5,1";"25,9";"29,6";"24,3";"57,6";"61,4";"59,8";"56,4";"56,7";"56,6";"57,6";"49,3";"30,2";"24,8";"44,0";"27,4";"32,1";"29,1";"48,9";"56,9";"48,5";"54,7";"51,3";"41,7";"38,1";"25,5";"52,1";"53,6";"72,7";"66,3";"47,7";"46,7";"48,3";"49,2";"59,9";"57,9";"62,5";"33,1";"28,2";"46,6";"33,9";"16,1";"1,2";"1,2";"21,8";"27,4";"14,5";"28,3";"27,9";"17,5";"20,3";"27,4";"14,3";"40,8";"23,9";"51,2";"49,8";"37,2";"44,6";"29,6";"43,9";"30,3";"43,9";"1,6";"11,4";"12,3";"10,9";"3,1";"3,7";"2,9";"2,9";"34,6";"34,6";"38,0";"38,0";"13,2";"21,3";"3,5";".";".";".";"1,4";".";".";"0,0";".";".";".";".";"3,1";"3,1";"."
"Gezondheid en welzijn|Huisartsenpraktijk|Afstand tot huisartsenpost";"km";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Afstand tot apotheek";"km";"1,3";"0,8";"0,6";"0,6";"0,4";"0,5";"0,7";"0,8";"0,7";"0,6";"0,9";"0,5";"0,5";"0,5";"0,6";"0,5";"0,4";"0,7";"0,9";"1,2";"0,4";"2,8";"4,0";"2,4";"1,3";"1,7";"0,6";"0,7";"1,0";"0,5";"0,7";"0,6";"0,5";"1,3";"0,8";"0,7";"0,6";"0,8";"2,1";"0,7";"0,7";"0,4";"0,6";"0,4";"0,7";"0,7";"1,9";"0,8";"1,1";"0,9";"1,1";"0,8";"1,1";"0,6";"1,1";"0,6";"0,7";"0,9";"1,1";"0,8";"1,8";"0,6";"0,7";"0,8";"0,7";"0,7";"0,9";"1,5";"1,8";"0,7";"0,5";"0,8";"0,9";"0,7";"1,2";"0,8";"1,5";"0,6";"0,5";"0,7";"0,8";"1,4";"0,8";"0,7";"0,8";"5,1";"0,8";"0,7";"0,8";"0,9";"1,8";"0,6";"2,8";"1,7";"1,7";"1,5";"1,5";"3,6";"2,7";"4,7";".";".";".";"8,1";".";".";"10,5";".";".";".";".";"0,8";"0,8";"."
