age_group,gender,hh_position,count
0-14,male,child,1356103.0
0-14,male,single,0.0
0-14,male,partner_nokids,0.0
0-14,male,partner_kids,0.0
0-14,male,single_parent,0.0
0-14,male,other,19877.0
0-14,male,institutional,6573.0
15-24,male,child,850881.0
15-24,male,single,167406.0
15-24,male,partner_nokids,53879.0
15-24,male,partner_kids,4941.0
15-24,male,single_parent,74.0
15-24,male,other,29262.0
15-24,male,institutional,19773.0
25-44,male,child,269777.0
25-44,male,single,612170.0
25-44,male,partner_nokids,503126.0
25-44,male,partner_kids,855964.0
25-44,male,single_parent,20607.0
25-44,male,other,43460.0
25-44,male,institutional,47853.0
45-64,male,child,32747.0
45-64,male,single,485352.0
45-64,male,partner_nokids,647532.0
45-64,male,partner_kids,1050308.0
45-64,male,single_parent,81798.0
45-64,male,other,27643.0
45-64,male,institutional,32544.0
65+,male,child,993.0
65+,male,single,393056.0
65+,male,partner_nokids,1159199.0
65+,male,partner_kids,108949.0
65+,male,single_parent,20385.0
65+,male,other,26389.0
65+,male,institutional,49830.0
0-14,female,child,1291093.0
0-14,female,single,0.0
0-14,female,partner_nokids,0.0
0-14,female,partner_kids,0.0
0-14,female,single_parent,0.0
0-14,female,other,19242.0
0-14,female,institutional,5646.0
15-24,female,child,737757.0
15-24,female,single,191886.0
15-24,female,partner_nokids,88530.0
15-24,female,partner_kids,14322.0
15-24,female,single_parent,5880.0
15-24,female,other,31631.0
15-24,female,institutional,9301.0
25-44,female,child,134550.0
25-44,female,single,379954.0
25-44,female,partner_nokids,469799.0
25-44,female,partner_kids,1048182.0
25-44,female,single_parent,204435.0
25-44,female,other,37173.0
25-44,female,institutional,23019.0
45-64,female,child,11118.0
45-64,female,single,382343.0
45-64,female,partner_nokids,766105.0
45-64,female,partner_kids,922297.0
45-64,female,single_parent,249145.0
45-64,female,other,26303.0
45-64,female,institutional,18987.0
65+,female,child,535.0
65+,female,single,768733.0
65+,female,partner_nokids,997892.0
65+,female,partner_kids,57143.0
65+,female,single_parent,44269.0
65+,female,other,31691.0
65+,female,institutional,96615.0
