Codering_3,SoortRegio_2,Gemeentenaam_1,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Nederland_17,EuropaExclusiefNederland_18,BuitenEuropa_19,HuishoudensTotaal_29,Eenpersoonshuishoudens_30,HuishoudensZonderKinderen_31,HuishoudensMetKinderen_32,GemiddeldeHuishoudensgrootte_33,Bevolkingsdichtheid_34,LeerlingenPo_62,LeerlingenVoInclVavo_63,StudentenMboExclExtranei_64,StudentenHbo_65,StudentenWo_66,BasisonderwijsVmboMbo1_67,HavoVwoMbo24_68,HboWo_69,WerkzameBeroepsbevolking_70,GemGestandaardiseerdInkomen_83,k_40HuishoudensMetLaagsteInkomen_84,k_20HuishoudensMetHoogsteInkomen_85,ALandbouwBosbouwEnVisserij_96,BFNijverheidEnEnergie_97,GIHandelEnHoreca_98,HJVervoerInformatieEnCommunicatie_99,KLFinancieleDienstenOnroerendGoed_100,MNZakelijkeDienstverlening_101,OQOverheidOnderwijsEnZorg_102,RUCultuurRecreatieOverigeDiensten_103,PersonenautoSPerHuishouden_107,MateVanStedelijkheid_120
NL00      ,Land      ,Nederland                               ,17942942,8920768,9022174,2714040,2202159,4586399,4763116,3677228,12941748,1677093,3324101,8374404,3340560,2385910,2647934,2.1,533,1461440,945030,466830,449940,341760,3527040,5525940,4518570,9601220,41.9,40.0,20.0,81760,367630,419330,199050,125130,620575,422690,271635,1.1,2
GM1680    ,Gemeente  ,Aa en Hunze                             ,25845,12867,12978,3490,2505,4712,7770,7368,23453,1062,1330,11410,3333,4479,3598,2.2,94,1900,1300,700,470,150,4440,8340,6220,13030,42.5,31.9,22.4,295,400,520,170,150,765,610,380,1.4,5
WK168000  ,Wijk      ,Aa en Hunze                             ,3590,1750,1845,495,355,640,1085,1015,3345,100,150,1585,455,615,515,2.2,245,250,190,90,90,20,480,1180,960,1880,,29.8,25.2,20,50,70,20,20,100,80,45,1.3,5
BU16800000,Buurt     ,Aa en Hunze                             ,3455,1680,1770,480,345,630,1030,975,3210,95,150,1525,440,580,500,2.2,1369,250,180,90,80,20,470,1130,910,1790,,30.2,24.3,15,50,65,20,20,90,75,40,1.3,5
BU16800009,Buurt     ,Aa en Hunze                             ,140,70,75,10,15,10,55,45,130,5,5,60,10,30,20,2.2,12,0,10,0,10,0,,50,50,90,,,,5,0,5,0,0,10,5,5,1.6,5
WK168001  ,Wijk      ,Aa en Hunze                             ,1460,755,705,195,150,320,440,355,1365,45,45,650,185,240,220,2.3,82,110,70,60,20,0,200,560,360,810,,29.3,27.3,15,30,35,10,15,30,35,30,1.4,5
BU16800100,Buurt     ,Aa en Hunze                             ,1285,665,615,185,135,285,390,295,1200,40,40,560,160,205,200,2.3,754,100,60,60,20,0,180,480,320,710,,28.9,28.0,10,30,25,5,15,25,25,20,1.4,5
BU16800109,Buurt     ,Aa en Hunze                             ,175,90,85,15,10,35,55,60,165,0,5,85,30,40,20,2.0,11,10,0,0,0,0,,,,90,,,,5,0,10,0,5,5,10,10,1.3,5
WK168002  ,Wijk      ,Aa en Hunze                             ,390,200,190,55,40,55,135,100,350,15,20,165,35,70,60,2.4,48,20,20,10,10,0,120,70,100,200,,24.2,29.1,5,5,10,0,0,10,20,5,1.5,5
BU16800200,Buurt     ,Aa en Hunze                             ,330,165,165,45,30,45,110,90,295,15,20,145,30,60,50,2.3,573,20,20,0,10,0,100,60,80,160,,25.5,26.2,5,5,10,0,0,10,15,5,1.4,5
BU16800209,Buurt     ,Aa en Hunze                             ,65,35,25,10,10,10,25,10,60,0,0,25,5,10,10,2.6,8,10,0,0,0,0,,,,40,,,,,,,,,,,,,5
WK168003  ,Wijk      ,Aa en Hunze                             ,390,195,195,25,20,50,140,140,345,20,15,180,45,90,45,2.1,43,20,10,10,0,0,,140,150,210,,16.8,33.7,5,15,5,5,5,15,20,5,1.4,5
