woon_corop,woon_name,werk_corop,werk_name,jobs
CR01,Oost-Groningen (CR),CR01,Oost-Groningen (CR),30.7
CR01,Oost-Groningen (CR),CR02,Delfzijl en omgeving (CR),1.8
CR01,Oost-Groningen (CR),CR03,Overig Groningen (CR),10.9
CR01,Oost-Groningen (CR),CR04,Noord-Friesland (CR),0.2
CR01,Oost-Groningen (CR),CR05,Zuidwest-Friesland (CR),0.1
CR01,Oost-Groningen (CR),CR06,Zuidoost-Friesland (CR),0.3
CR01,Oost-Groningen (CR),CR07,Noord-Drenthe (CR),3.5
CR01,Oost-Groningen (CR),CR08,Zuidoost-Drenthe (CR),3.5
CR01,Oost-Groningen (CR),CR09,Zuidwest-Drenthe (CR),1.5
CR01,Oost-Groningen (CR),CR10,Noord-Overijssel (CR),1.0
CR01,Oost-Groningen (CR),CR11,Zuidwest-Overijssel (CR),0.1
CR01,Oost-Groningen (CR),CR12,Twente (CR),0.5
CR01,Oost-Groningen (CR),CR13,Veluwe (CR),0.2
CR01,Oost-Groningen (CR),CR14,Achterhoek (CR),0.1
CR01,Oost-Groningen (CR),CR15,Arnhem/Nijmegen (CR),0.2
CR01,Oost-Groningen (CR),CR16,Zuidwest-Gelderland (CR),0.0
CR01,Oost-Groningen (CR),CR17,Utrecht (CR),0.4
CR01,Oost-Groningen (CR),CR18,Kop van Noord-Holland (CR),0.1
CR01,Oost-Groningen (CR),CR19,Alkmaar en omgeving (CR),0.0
CR01,Oost-Groningen (CR),CR20,IJmond (CR),0.0
CR01,Oost-Groningen (CR),CR21,Agglomeratie Haarlem (CR),0.0
CR01,Oost-Groningen (CR),CR22,Zaanstreek (CR),0.0
CR01,Oost-Groningen (CR),CR23,Groot-Amsterdam (CR),0.3
CR01,Oost-Groningen (CR),CR24,Het Gooi en Vechtstreek (CR),0.0
CR01,Oost-Groningen (CR),CR25,Agglomeratie Leiden en Bollenstreek (CR),0.0
CR01,Oost-Groningen (CR),CR26,Agglomeratie 's-Gravenhage (CR),0.1
CR01,Oost-Groningen (CR),CR27,Delft en Westland (CR),0.0
CR01,Oost-Groningen (CR),CR28,Oost-Zuid-Holland (CR),0.1
CR01,Oost-Groningen (CR),CR29,Groot-Rijnmond (CR),0.2
CR01,Oost-Groningen (CR),CR30,Zuidoost-Zuid-Holland (CR),0.1
CR01,Oost-Groningen (CR),CR31,Zeeuwsch-Vlaanderen (CR),0.0
CR01,Oost-Groningen (CR),CR32,Overig Zeeland (CR),0.0
CR01,Oost-Groningen (CR),CR33,West-Noord-Brabant (CR),0.1
CR01,Oost-Groningen (CR),CR34,Midden-Noord-Brabant (CR),0.1
CR01,Oost-Groningen (CR),CR35,Noordoost-Noord-Brabant (CR),0.1
CR01,Oost-Groningen (CR),CR36,Zuidoost-Noord-Brabant (CR),0.1
CR01,Oost-Groningen (CR),CR37,Noord-Limburg (CR),0.0
CR01,Oost-Groningen (CR),CR38,Midden-Limburg (CR),0.0
CR01,Oost-Groningen (CR),CR39,Zuid-Limburg (CR),0.0
